Name,Tag,Decision Date,Notes
Macalester College,EA,"December 20, 2020",
Macalester College,RD,"March 21, 2021",
Miami University,RD,"March 15, 2021 9:00 AM (PDT)",
Middlebury College,ED,"December 12, 2020",
Middlebury College,RD,"March 27, 2021 5:00 AM (PDT)",
MIT,EA,"December 19, 2020 12:14 PM (PST)",
MIT,RD,"March 14, 2021 3:28 PM (PDT)",
Mount Holyoke College (MHC),ED,"December 16, 2020 5:00 PM (PST)",
Mount Holyoke College (MHC),RD,"March 23, 2021 4:00 PM (PDT)",Approx.
Muhlenberg College,RD,"March 10, 2021 1:00 PM (PST)",
New York University (NYU),ED,"December 15, 2020 1:00 PM (PST)",
New York University (NYU),ED 2,"February 16, 2021",
New York University (NYU),RD,"March 3, 2021",
North Carolina State University (NCSU),EA,"January 22, 2021",
Northeastern University (NEU),ED,"December 9, 2020 4:00 PM (PST)",
Northeastern University (NEU),EA,"January 27, 2021",
Northeastern University (NEU),RD,"March 17, 2021",
Northwestern University,ED,"December 18, 2020 1:00 PM (PST)",
Northwestern University,RD,"March 26, 2021",
Oberlin College,RD,"March 20, 2021 8:00 AM (PDT)",
Occidental College,RD,"March 25, 2021 5:00 PM (PDT)",
Ohio State University,EA,"December 11, 2020",Round 1 of EA
Pitzer College,RD,"March 19, 2021 4:00 PM (PDT)",
Pomona College,ED,"December 15, 2020 5:00 PM (PST)",
Pomona College,RD,"March 25, 2021 5:00 PM (PDT)",
Pratt Institute,RD,"March 2, 2021",
Princeton University,RD,"April 6, 2021 4:00 PM (PDT)",
Providence College,RD,"March 15, 2021",
Purdue University,EA,"January 15, 2021 2:00 PM (PST)",
Purdue University,RD,"March 31, 2021 2:00 PM (PDT)",
Reed College,RD,"March 15, 2021",Starting on
Rensselaer Polytechnic Institute (RPI),EA,"January 30, 2021 4:00 PM (PST)",
Rensselaer Polytechnic Institute (RPI),RD,"March 6, 2021",
Rice University,ED,"December 10, 2020 3:00 PM (PST)",
Rice University,RD,"March 30, 2021 3:00 PM (PDT)",
Santa Clara University (SCU),"EA, ED","December 15, 2020 4:00 PM (PST)",Approx.
Santa Clara University (SCU),RD,"March 17, 2021",
Sarah Lawrence College (SLC),RD,"March 17, 2021",
Scripps College,RD,"March 22, 2021",
Seattle University,RD,"March 4, 2021 4:00 PM (PST)",
Skidmore College,RD,"March 15, 2021 5:00 PM (PDT)",
Smith College,RD,"March 26, 2021",
Southern Methodist University (SMU),EA,"December 17, 2020 5:00 PM (PST)",
Southern Methodist University (SMU),RD,"March 18, 2021 5:00 PM (PDT)",
Stanford University,REA/SCEA,"December 11, 2020 4:00 PM (PST)",
Stanford University,RD,"April 7, 2021 4:00 PM (PDT)",
Stevens Institute of Technology,RD,"March 19, 2021",
